"iso_code3","year","grade","mlevel2_m","rlevel2_m","category","Location","Sex","Wealth","rlevel2_no","mlevel2_no","survey"
"BLR",2019,6,0.78167154740141,0.856511775024986,"Location","Rural",,,44,44,"MICS6"
"CAF",2018,3,0,0.0337613496154,"Location","Urban",,,363,363,"MICS6"
"CAF",2018,3,0.0120598077680541,0.0243933570676732,"Location","Rural",,,494,494,"MICS6"
"CAF",2018,6,0.078709325479202,0.19129889759795,"Location","Urban",,,218,218,"MICS6"
"CAF",2018,6,0.0647449994320705,0.157731996808411,"Location","Rural",,,127,127,"MICS6"
"COD",2017,3,0.00789741665271729,0.0747857122634448,"Location","Urban",,,448,448,"MICS6"
"COD",2017,3,0.000416064351246629,0.0191377493885244,"Location","Rural",,,954,954,"MICS6"
"COD",2017,6,0.00619274340410032,0.263056043532722,"Location","Urban",,,351,351,"MICS6"
"COD",2017,6,0,0.0666582978889744,"Location","Rural",,,587,587,"MICS6"
"GHA",2017,3,0.108271081659891,0.120461850276654,"Location","Urban",,,383,383,"MICS6"
"GHA",2017,3,0.0475722695725112,0.0278927163490328,"Location","Rural",,,505,505,"MICS6"
"GHA",2017,6,0.3127447681107,0.584181587574258,"Location","Urban",,,349,349,"MICS6"
"GHA",2017,6,0.227274028518341,0.327849699578373,"Location","Rural",,,387,387,"MICS6"
"GMB",2019,3,0.07434998853998,0.107583317296228,"Location","Urban",,,251,251,"MICS6"
"GMB",2019,3,0.0202622675468029,0.0501493898224454,"Location","Rural",,,285,285,"MICS6"
"GMB",2019,6,0.360002751800036,0.320514306703786,"Location","Urban",,,157,157,"MICS6"
"GMB",2019,6,0.11268381556825,0.276582032859832,"Location","Rural",,,140,140,"MICS6"
"GNB",2018,3,0.0553805907606543,0.166417801052249,"Location","Urban",,,206,206,"MICS6"
"GNB",2018,3,0.097013263069542,0.0581411771578372,"Location","Rural",,,381,381,"MICS6"
"GNB",2018,6,0.198189609752442,0.589941428444463,"Location","Urban",,,122,122,"MICS6"
"GNB",2018,6,0.437355971950581,0.577530816035871,"Location","Rural",,,147,147,"MICS6"
"GUY",2019,3,0.608807851422511,0.541070772654962,"Location","Urban",,,69,69,"MICS6"
"GUY",2019,3,0.575015504197799,0.576051206122327,"Location","Rural",,,203,203,"MICS6"
"GUY",2019,6,0.629766033341994,0.552838737814138,"Location","Urban",,,67,67,"MICS6"
"GUY",2019,6,0.644024625216466,0.567753969851922,"Location","Rural",,,191,191,"MICS6"
"KGZ",2018,3,0.480025179082874,0.613854058607383,"Location","Urban",,,133,133,"MICS6"
"KGZ",2018,3,0.440564007582113,0.430789292353451,"Location","Rural",,,192,192,"MICS6"
"KGZ",2018,6,0.750933103635458,0.792823768774252,"Location","Urban",,,121,121,"MICS6"
"KGZ",2018,6,0.603502477006041,0.689788557170375,"Location","Rural",,,182,182,"MICS6"
"KIR",2018,3,0.166666666666667,0.423076923076923,"Location","Urban",,,69,69,"MICS6"
"KIR",2018,3,0.190810435370505,0.282970179539039,"Location","Rural",,,134,134,"MICS6"
"KIR",2018,6,0.23489932885906,0.328859060402685,"Location","Urban",,,65,65,"MICS6"
"KIR",2018,6,0.276218099654623,0.304223458697329,"Location","Rural",,,117,117,"MICS6"
"LSO",2018,3,0.0409449887690837,0.388593777800905,"Location","Urban",,,118,118,"MICS6"
"LSO",2018,3,0.011560225612801,0.113735097927436,"Location","Rural",,,363,363,"MICS6"
"LSO",2018,6,0.131759111215831,0.827380921231086,"Location","Urban",,,103,103,"MICS6"
"LSO",2018,6,0.204766300463503,0.615336070976087,"Location","Rural",,,359,359,"MICS6"
"MDG",2018,3,0.0778763099444511,0.284098207209974,"Location","Urban",,,323,323,"MICS6"
"MDG",2018,3,0.0541066680848619,0.168171674173423,"Location","Rural",,,933,933,"MICS6"
"MDG",2018,6,0.15502847065975,0.860430042431078,"Location","Urban",,,158,158,"MICS6"
"MDG",2018,6,0.261972663204019,0.539576362277342,"Location","Rural",,,281,281,"MICS6"
"MKD",2018,3,0.43512141489601,0.690928295202078,"Location","Urban",,,67,67,"MICS6"
"MKD",2018,3,0.321321764216905,0.476104081281156,"Location","Rural",,,70,70,"MICS6"
"MKD",2018,6,0.553653727245312,0.60995447536325,"Location","Urban",,,46,46,"MICS6"
