"iso_code3","year","grade","level","survey","category","Language","Location","Sex","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"SWE",2021,4,"Primary","PIRLS","Total",,,,,0.9528,0.8082,0.4971,0.006,0.0094,0.0116,4940,4237,2639
"TUR",2021,4,"Primary","PIRLS","Total",,,,,0.8589,0.624,0.2882,0.0119,0.0166,0.0133,5313,3994,1892
"USA",2021,4,"Primary","PIRLS","Total",,,,,0.9451,0.8092,0.522,0.0145,0.0286,0.0318,1586,1376,906
"UZB",2021,4,"Primary","PIRLS","Total",,,,,0.6984,0.3351,0.0686,0.0138,0.0131,0.007,4105,1986,467
"ZAF",2021,4,"Primary","PIRLS","Total",,,,,0.1945,0.0867,0.0304,0.0118,0.0088,0.0048,1646,585,169
"ALB",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9267,0.7031,0.3348,0.009,0.0171,0.0156,3799,3036,1579
"ALB",2021,4,"Primary","PIRLS","Language","No",,,,0.9415,0.5541,0.2111,0.074,0.12,0.0892,23,15,10
"ARE",2021,4,"Primary","PIRLS","Language","Yes",,,,0.7733,0.6018,0.3571,0.006,0.0069,0.0061,18496,14107,8227
"ARE",2021,4,"Primary","PIRLS","Language","No",,,,0.5865,0.3805,0.1815,0.0183,0.0138,0.011,1426,896,440
"AUS",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9463,0.8091,0.4873,0.0053,0.0101,0.0134,4998,4288,2675
"AUS",2021,4,"Primary","PIRLS","Language","No",,,,0.8055,0.6934,0.4215,0.0633,0.079,0.0966,53,46,27
"AUT",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9638,0.8094,0.421,0.0037,0.0104,0.0164,4348,3649,1958
"AUT",2021,4,"Primary","PIRLS","Language","No",,,,0.8913,0.5654,0.1441,0.0283,0.053,0.0294,233,153,38
"AZE",2021,4,"Primary","PIRLS","Language","Yes",,,,0.6902,0.386,0.1152,0.0148,0.0176,0.0097,3652,2275,726
"AZE",2021,4,"Primary","PIRLS","Language","No",,,,0.4374,0.1467,0.024,0.0793,0.0536,0.0152,55,24,4
"BGR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9397,0.806,0.5132,0.0085,0.013,0.0136,3728,3301,2205
"BGR",2021,4,"Primary","PIRLS","Language","No",,,,0.759,0.4332,0.1328,0.0638,0.0619,0.0503,108,62,19
"BHR",2021,4,"Primary","PIRLS","Language","Yes",,,,0.7439,0.4948,0.2195,0.0089,0.0115,0.0112,3390,2208,927
"BHR",2021,4,"Primary","PIRLS","Language","No",,,,0.531,0.2714,0.087,0.0456,0.0483,0.0315,122,65,18
"BRA",2021,4,"Primary","PIRLS","Language","Yes",,,,0.642,0.3935,0.1368,0.0176,0.0161,0.0106,3173,2057,786
"BRA",2021,4,"Primary","PIRLS","Language","No",,,,0.2352,0.062,0.0111,0.0713,0.032,0.0156,24,8,2
"CYP",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9268,0.7086,0.3328,0.0059,0.0149,0.0144,4000,3113,1485
"CYP",2021,4,"Primary","PIRLS","Language","No",,,,0.7816,0.4257,0.1275,0.0333,0.041,0.0292,172,92,28
"CZE",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9608,0.8177,0.4768,0.0054,0.0106,0.013,6271,5385,3122
"CZE",2021,4,"Primary","PIRLS","Language","No",,,,0.9476,0.7982,0.3975,0.0282,0.0582,0.0938,65,53,26
"DEU",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9409,0.7674,0.4205,0.0055,0.0107,0.0127,3682,3048,1702
"DEU",2021,4,"Primary","PIRLS","Language","No",,,,0.877,0.6214,0.219,0.0384,0.0675,0.0587,79,57,20
"DNK",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9614,0.8199,0.4837,0.0055,0.0093,0.0137,4513,3866,2357
"DNK",2021,4,"Primary","PIRLS","Language","No",,,,0.8758,0.6491,0.2816,0.0727,0.0876,0.0744,51,37,18
"EGY",2021,4,"Primary","PIRLS","Language","Yes",,,,0.4763,0.2138,0.0557,0.0211,0.0155,0.0081,3053,1404,380
"EGY",2021,4,"Primary","PIRLS","Language","No",,,,0.4348,0.192,0.0311,0.0508,0.041,0.0136,222,106,24
"ESP",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9601,0.7756,0.373,0.0052,0.0123,0.0133,7499,6213,3121
"ESP",2021,4,"Primary","PIRLS","Language","No",,,,0.8907,0.5949,0.1813,0.0195,0.028,0.0222,576,366,112
"FIN",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9673,0.849,0.538,0.0051,0.0097,0.0134,6622,5805,3738
"FIN",2021,4,"Primary","PIRLS","Language","No",,,,0.864,0.6023,0.247,0.0447,0.06,0.0519,117,88,40
"FRA",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9408,0.7285,0.3203,0.0067,0.0143,0.0148,4882,3852,1712
"FRA",2021,4,"Primary","PIRLS","Language","No",,,,0.7341,0.4784,0.1009,0.102,0.0957,0.07,39,22,6
"GEO",2021,4,"Primary","PIRLS","Language","Yes",,,,0.8857,0.6317,0.2648,0.0089,0.0152,0.0114,4442,3251,1399
"GEO",2021,4,"Primary","PIRLS","Language","No",,,,0.8461,0.6308,0.2403,0.0741,0.115,0.1367,48,34,15
"HKG",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9846,0.9275,0.6893,0.004,0.0093,0.0183,3527,3337,2522
"HKG",2021,4,"Primary","PIRLS","Language","No",,,,0.9629,0.8701,0.6043,0.0143,0.0318,0.0472,212,197,131
"HRV",2021,4,"Primary","PIRLS","Language","Yes",,,,0.9813,0.8819,0.5653,0.0044,0.0099,0.0159,3793,3440,2256
"HRV",2021,4,"Primary","PIRLS","Language","No",,,,0.9516,0.8296,0.4721,0.0592,0.0788,0.1238,24,21,12
