iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,year_uis,cy,_merge
ALB,Albania,2017,Albania_2017,DHS,Location & Wealth,Urban,,Quintile 3,,,,92.341896,91.039566,79.400772,97.919319,89.405693,73.762321,14.953576,.89949596,.99161863,9.6248407,4.3094778,12.404716,282,291,245,886,886,853,420,420,420,411,381,279,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth,,,Quintile 1,,,,87.336365,89.804497,62.194378,95.478485,83.069756,49.019554,12.491986,3.9638453,4.2471938,10.569744,6.6131272,24.551853,688,723,594,2085,2085,1855,959,959,959,997,985,685,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 1,Durres,,,,,,95.097878,81.168625,59.433014,,,,,,,13,10,12,31,31,37,16,16,16,28,16,9,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Sex & Wealth & Region,,Male,Quintile 5,Diber,,,,,,,,,,,,,,,6,2,1,7,7,8,3,3,3,1,6,2,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 4,Elbasan,,,,,,98.419174,94.416191,78.988052,15.816165,0,0,10.749701,,,20,22,21,71,71,72,33,33,33,39,26,22,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 3,Tirane,,,96.819702,88.849815,74.493637,98.488396,89.461861,67.834961,14.899921,1.1272931,1.1272931,13.50731,8.2156906,16.783396,53,50,49,164,164,146,84,84,84,69,63,48,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth,,,Quintile 3,,,,93.595825,92.816704,81.660149,98.231972,90.784088,73.890945,15.093553,.87796098,1.0699029,10.435281,4.6471758,9.9851828,435,460,388,1417,1417,1356,673,673,673,627,581,451,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 5,Diber,,,,,,,,,,,,,,,7,4,1,10,10,9,4,4,4,6,9,3,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 2,Elbasan,,,66.214272,94.646317,82.229828,97.167732,85.575943,57.740559,13.391022,2.0840049,2.0840049,11.913069,0,4.7004743,39,66,46,184,184,163,86,86,86,62,63,47,,Albania_2017,matched (3)
ALB,Albania,2017,Albania_2017,DHS,Wealth & Region,,,Quintile 5,Berat,,,,,,95.659622,93.236938,97.828011,,,,,,,10,13,8,36,36,40,18,18,18,15,18,12,,Albania_2017,matched (3)
